transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label,hist_mean,hist_std,amount_deviation,user_transaction_count,amount_ratio,risk_login_interaction
T1,U3756,18758.28,Transfer,UPI,Web,Hyderabad,895,14,1,25535.84,0,0.718,4,0,29464.365,15140.690606919155,-0.7071067811865475,2,0.6366429413971759,2.872
T2,U7899,47538.18,Payment,Wallet,iOS,Hyderabad,918,21,0,3955.85,0,0.525,9,0,43833.93,5238.600588420537,0.7071067811865476,2,1.0845064542467444,4.7250000000000005
T3,U1765,36613.1,Payment,Card,Android,Chennai,1506,8,4,22727.71,0,0.985,9,0,19160.455,24681.767258282984,0.7071067811865476,2,1.9108679830411128,8.865
T4,U8850,29952.99,Payment,Wallet,iOS,Chennai,800,1,3,18095.89,0,0.797,2,0,29952.99,,,1,1.0,1.594
T5,U9049,7843.13,Payment,UPI,Web,Delhi,301,4,1,9317.49,1,0.468,1,0,26325.406666666662,16541.066452421786,-1.117357016842204,3,0.2979300604663024,0.468
T6,U1787,7841.93,Transfer,NetBanking,Web,Hyderabad,1992,20,3,4177.23,0,0.583,3,0,17221.98,13265.39392573775,-0.7071067811865475,2,0.4553442751646442,1.749
T7,U8763,2951.28,Transfer,UPI,Android,Hyderabad,1285,22,4,11451.45,0,0.045,8,1,10297.61,10389.279519668338,-0.7071067811865475,2,0.2865985408264637,0.36
T8,U1439,43315.5,Transfer,UPI,Web,Hyderabad,1621,4,4,13297.18,0,0.965,4,0,43315.5,,,1,1.0,3.86
T9,U6660,30075.69,Transfer,UPI,Android,Mumbai,184,11,0,4308.8,0,0.363,5,0,34154.75,5768.661973733595,-0.707106781186548,2,0.8805712236218973,1.815
T10,U3566,35418.23,Payment,Card,iOS,Hyderabad,118,9,3,20136.79,0,0.662,5,0,39190.43,5334.696399983785,-0.7071067811865475,2,0.9037469096409508,3.31
T11,U7074,1078.2,Withdrawal,Wallet,iOS,Mumbai,971,3,4,9282.58,0,0.667,2,0,3392.355,3272.7093864335097,-0.7071067811865475,2,0.3178323023386408,1.334
T12,U4776,48497.0,Transfer,NetBanking,Android,Delhi,1373,11,2,24200.58,0,0.057,1,0,43383.095,7232.153807687581,0.7071067811865475,2,1.1178778277575632,0.057
T13,U2955,41630.51,Transfer,Card,iOS,Bangalore,857,14,4,19485.63,0,0.266,8,0,40571.265,1497.9986448758928,0.7071067811865476,2,1.0261082566688515,2.128
T14,U8947,10656.34,Payment,UPI,Android,Hyderabad,1047,9,4,9384.02,0,0.656,5,0,9334.136666666667,4913.210558100816,0.2691118806527245,3,1.1416524506283563,3.28
T15,U7312,9132.16,Payment,NetBanking,iOS,Chennai,702,17,3,10864.59,0,0.912,2,0,24389.126666666667,13240.30124371924,-1.1523126540571778,3,0.3744357116518317,1.824
T16,U2252,9211.06,Payment,UPI,iOS,Chennai,1355,23,4,28270.21,0,0.779,7,0,6455.83,3896.4836334572224,0.7071067811865475,2,1.426781684152154,5.453
